num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
243	2	0.937317617400291	4			134.651	-4.85447496943044e-06		0.021999999999025	infill_ei	0.563000000000102	8.44434182359575e-05	0.937005279665607	314
256	2	0.937105605231024	2			147.927000000001	-0.000908621390058812		0.024000000000342	infill_ei	0.668999999999869	0.000666603979419878	0.935504216581564	387
178	2	0.936330776057222	3			104.647999999999	-3.06157900903012e-06		0.022000000000844	infill_ei	0.701000000000931	0.000830405641415312	0.935197622388943	236
248	404	0.935151385957148	6			192.262999999999	-0.000773777952489892		0.0280000000002474	infill_ei	0.351000000000568	0.00131978957250849	0.937754865340465	511
223	425	0.934624715289669	1			133.45	-0.00030399794031534		0.0219999999999345	infill_ei	0.311000000000604	0.00103923248598287	0.929992713825158	295
248	2	0.934424520192132	7			119.898999999999	-0.000398963723315267		0.0270000000000437	infill_ei	0.528000000000247	0.000477397776917102	0.937647268706584	275
231	2	0.93422316655815	5			153.223	-5.22341548530837e-05		0.0270000000000437	infill_ei	0.565999999998894	9.21609799197827e-05	0.937345267123913	400
85	766	0.932781483807136	9			158.831	-0.000110181574613544		0.0240000000012515	infill_ei	0.354000000001179	0.00383471045011112	0.931532320849717	515
40	896	0.930236642654068	0			77.893				initdesign				183
243	1747	0.929488923233058	8			97.7150000000002	-0.000475743584395359		0.0409999999992579	infill_ei	0.488000000001193	0.00242746195612325	0.936089577411804	184
215	2559	0.929278533014813	0			102.859				initdesign				248
85	1691	0.929184923270131	0			82.2920000000004				initdesign				150
174	5011	0.928729618447607	0			145.087				initdesign				469
153	3336	0.928544716031132	0			116.176				initdesign				322
113	6086	0.928216618510169	0			110.704				initdesign				334
115	6310	0.926666496747988	10			101.692999999999	-0.000101966876655659		0.0419999999994616	infill_ei	0.394000000000233	0.00373180832338165	0.931605801023683	293
22	6750	0.926144923640863	0			121.53				initdesign				373
249	7962	0.925514448107994	0			142.026				initdesign				470
