Feature	Gain	Cover	Frequency
ctrx_quarter	0.0802129740287501	0.0109837426518209	0.0101317980413739
mcaja_ahorro	0.0433013558965213	0.00986518276553431	0.00874890638670166
ctrx_quarter_lag1	0.0300110191232957	0.0148348931799763	0.00902407360370276
mcuenta_corriente	0.0247915293626397	0.0120530281429306	0.0148025851607259
Master_fechaalta	0.0212625312961831	0.0109672372055982	0.0208703750740835
numero_de_cliente	0.0187270573716685	0.017036667152285	0.0267053311884402
cpayroll_trx	0.0185414305520191	0.0076155921841477	0.00111478000733779
mtarjeta_visa_consumo	0.0174606668542421	0.0083815258633868	0.00485423193068608
Visa_fechaalta	0.0165952995704964	0.0112232501702216	0.0176177574577371
mrentabilidad_annual	0.0162508865428421	0.0195549332243559	0.0164676996020659
Visa_mpagominimo	0.0147688687495976	0.00859197504971896	0.0103575762707081
cproductos	0.0144525020638403	0.0178201849169571	0.00968024158270539
mcuentas_saldo	0.0143538792360705	0.0153325317404502	0.0126647475517173
mcomisiones	0.0140899001837474	0.0142348181953795	0.012671803121384
cliente_antiguedad	0.0124192411876068	0.0093183678123103	0.0177235910027376
cliente_edad_lag1	0.0122064935835121	0.0184542177424485	0.016256032512065
cliente_edad_lag2	0.0120651663135686	0.0132836090906836	0.0143228064233906
foto_mes	0.0118852067668425	0.0240528599560658	0.0112748003273784
cliente_edad	0.0118013803881495	0.0177939074037497	0.0229941015437586
mrentabilidad_annual_lag2	0.01178234120001	0.00730925436083481	0.0139347500917224
mprestamos_personales	0.0115600783398124	0.0245157707440794	0.0060748454830243
ctarjeta_visa_transacciones	0.011474955197602	0.00744750822190135	0.00527051054102108
mpayroll	0.0105233280438687	0.0179651011055022	0.00198967064600796
cliente_antiguedad_lag1	0.0102792730700292	0.00950780895342233	0.0115993565320464
mcuenta_corriente_lag1	0.00914720045040769	0.00891587429540359	0.0102094093077075
Visa_mpagominimo_lag1	0.00897731390931839	0.0112583815901775	0.00833968334603336
ctrx_quarter_delta2	0.00891689024021906	0.00884541728818377	0.0141816950300567
mcuentas_saldo_lag1	0.00875545048740191	0.00685483242052975	0.00891118448903564
mrentabilidad_annual_lag1	0.0086204572201793	0.00788102624456479	0.0126294697033839
mactivos_margen_delta2	0.00850458845067542	0.00655854168351186	0.011077244376711
ctrx_quarter_delta1	0.00833124185431498	0.0109785895617155	0.0123049134987159
mcomisiones_lag2	0.00831125014620584	0.00419120118629586	0.00914401828803658
Visa_fechaalta_lag2	0.00814497446671239	0.00764569852966812	0.0106256879180425
Visa_fechaalta_lag1	0.00801919392521853	0.00583464798280453	0.0108373550080434
ctrx_quarter_lag2	0.00794036408444199	0.00516020385661208	0.00881946208336861
mrentabilidad_annual_delta2	0.00780097516116179	0.00945480005326824	0.0144427511077244
mactivos_margen_lag1	0.00769016482394529	0.00600863781629738	0.00941212993537098
mrentabilidad_annual_delta1	0.0076584915368755	0.00373279912243139	0.0129116924900516
mcuenta_corriente_delta1	0.00754604200913489	0.00840661203459315	0.011909801597381
mactivos_margen_lag2	0.00745354113707116	0.00755546647026066	0.00894646233736912
mpayroll_sobre_edad	0.00726368698720391	0.00645020857586994	0.00140405836367228
mcuentas_saldo_delta1	0.00725216109558245	0.00624922642396902	0.0114370784297124
chomebanking_transacciones	0.00723063807668285	0.00588028771297661	0.0103857985493749
cliente_antiguedad_lag2	0.00722748817307277	0.00726934777263196	0.00874890638670166
mrentabilidad_lag1	0.00721591739145276	0.0053922870786657	0.0108020771597099
kmes	0.00717248894037359	0.00254076436669394	0.00922162955437022
kmes_lag1	0.00715313240816359	0.00255793071678255	0.00870657296870149
mpasivos_margen_lag2	0.0071399508972588	0.00472892580191674	0.00796573815369853
chomebanking_transacciones_delta1	0.00705145357052163	0.00602669476343976	0.00954618575903818
Master_fechaalta_lag1	0.00702504360488556	0.00826802619030575	0.0132009708463861
mcomisiones_delta1	0.00691942694118337	0.00490865122743948	0.010336409561708
mcuenta_corriente_delta2	0.00690470956764868	0.00498848890445189	0.0105551322213756
Master_fechaalta_lag2	0.00682051300304828	0.00589377835954414	0.0131445262890526
chomebanking_transacciones_lag2	0.0066389533781522	0.00915001618093569	0.0085584060057009
mcomisiones_lag1	0.00662607387062695	0.00402116881330121	0.0105410210820422
kmes_lag2	0.00649780913299322	0.00413545679340303	0.00795868258403184
mcaja_ahorro_lag1	0.00645241535430386	0.0048369171260951	0.00716845878136201
mcuentas_saldo_lag2	0.00644551867391868	0.00626367749431942	0.00917224056670336
chomebanking_transacciones_delta2	0.00642278842531762	0.00541718765777625	0.00953913018937149
mcomisiones_delta2	0.00634851432054947	0.00403184189009754	0.0100400756357068
mactivos_margen_delta1	0.00629540008910718	0.00699705047976133	0.0110913555160444
mrentabilidad	0.0062519796675943	0.0073199813389659	0.0131233595800525
mactivos_margen	0.00621429123495204	0.00841967024545232	0.0123190246380493
mprestamos_personales_delta2	0.00600804552681633	0.00953800840124824	0.00407106369768295
mcaja_ahorro_delta1	0.00595321779414647	0.0063998837171805	0.008417294612367
mcaja_ahorro_lag2	0.00589540066121105	0.00970335380818002	0.00798690486269861
mpasivos_margen	0.0057741153491969	0.00348635548227217	0.00986368639403945
mpasivos_margen_delta1	0.00570674454668459	0.00365214128760949	0.00825501651003302
mtarjeta_visa_consumo_delta2	0.00562383756281404	0.00549036913246179	0.00541867750402168
cproductos_delta2	0.00558093597526818	0.0165046903789974	0.00301978381734541
mcuenta_corriente_lag2	0.00550448141015012	0.00952964021902778	0.0103787429797082
Visa_mpagominimo_lag2	0.00544295239755149	0.00460722577577116	0.00709790308469506
mpasivos_margen_lag1	0.00544075699940198	0.00244181805399629	0.00776112663336438
mcuentas_saldo_delta2	0.00511532247554487	0.00976581749246198	0.0102023537380408
Visa_mpagominimo_delta2	0.005055125213665	0.00603273845059898	0.00692151384302769
mrentabilidad_delta2	0.00497289197519393	0.00394610997962681	0.0104916320943753
mrentabilidad_delta1	0.00496732660131345	0.0128314461063168	0.0105269099427088
