Feature	Gain	Cover	Frequency
cliente_edad_delta2	0.00109225892128415	0.000523189018177338	0.00203905963367482
cdescubierto_preacordado_lag1	0.00103938122059788	0.0002149530103599	0.00126294697033839
mpayroll_sobre_edad_delta1	0.000951224929536195	0.00386178317895068	0.00136878051533881
mpayroll_delta1	0.000902453729194676	0.00284452901378752	0.00098072418367059
internet_delta1	0.000851254581413845	0.0011269066304762	0.00231422685067592
cpayroll_trx_delta2	0.000670119914091355	0.00179884434460262	0.000783168233003133
Master_status_delta2	0.000645445086906762	7.99062787111891e-05	0.000169333672000677
Visa_fechaalta_delta1	0.000535325188816321	0.000438574335372409	0.00159455874467304
cdescubierto_preacordado_lag2	0.000444933198447879	8.72043969337608e-05	0.000740834815002963
cliente_edad_delta1	0.000443522527668895	0.00544456402319445	0.00150283633900601
Visa_status_delta2	0.000426374549886798	0.00142504165066389	0.000338667344001355
cpayroll_trx_delta1	0.000424901671926279	0.000481801368299103	0.000613834561002455
Master_status_delta1	0.000330602671471264	0.00015053356514762	0.000543278864335507
kmes_delta2	0.000306428161944512	0.000270407683578428	0.000571501143002286
Master_status_lag1	0.000255904610057245	0.00161767522082973	0.000402167471001609
Master_status_lag2	0.00024223295720403	0.000896404922585458	0.00034572291366805
Visa_status_lag2	0.00020449932623466	0.000416581365762702	0.00033161177433466
kmes_delta1	0.000108723213141662	8.79308399225959e-05	0.000338667344001355
